assets,hardship1,hardship2,hardship3,hardship4
"$0",0.4702,0.2455,0.1996,0.0126
"$1-$249",0.3928,0.2447,0.2107,0.0319
"$250-$749",0.2701,0.185,0.1518,0.0074
"$750-$1,999",0.2346,0.1644,0.1344,0.0041
"$2,000-$4,999",0.1296,0.1095,0.1076,0.0038
"$5,000-$19,999",0.1083,0.0768,0.0611,0
"$20,000+",0.05,0.0477,0.0361,0
