assets,income1,income2,income3
"$0",0.374,0.2955,0.2129
"$1-$1,999",0.3236,0.2528,0.2055
"$2,000-$4,999",0.2003,0.17,0.1632
"$5,000-$19,999",0.1351,0.0888,0.1181
"$20,000+",0.0858,0.0929,0.0541
