assets,share
"$0",0.2381
"$1 - $249",0.125
"$250 - $749",0.0757
"$750 - $1,999",0.0857
"$2,000 - $4,999",0.0947
"$5,000 - $19,999",0.1431
"$20,000+",0.2376
